AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2017-05-09 09:50:54.293686	2017-05-09 09:50:55.295077	2017-05-09 09:50:56.296295	2017-05-09 09:50:57.297590	2017-05-09 09:50:58.148494	.00	-0.01	0.00	
2017-05-09 09:51:00.261856	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	0.00	1.01	-	0.01	-0.01	0.01	
2017-05-09 09:51:00.264646	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	0.00	1.01	-	0.00	-0.01	0.00	
2017-05-09 09:51:00.267371	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	0.00	1.01	-	-0.01	-0.01	0.00	
2017-05-09 09:51:00.269976	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	0.00	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.300206	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	0.00	1.01	-	-0.02	0.00	-0.01	
2017-05-09 09:51:00.303059	1 - 1.00	-0.00	0.00	0.04	-	-0.00	0.00	1.01	-	-0.02	0.01	-0.01	
2017-05-09 09:51:00.305347	1 - 1.00	-0.00	0.00	0.04	-	-0.00	0.00	1.01	-	-0.02	0.01	-0.01	
2017-05-09 09:51:00.314018	1 - 1.00	-0.00	0.00	0.04	-	-0.00	0.00	1.01	-	-0.02	0.01	-0.01	
2017-05-09 09:51:00.317486	1 - 1.00	-0.00	0.00	0.04	-	-0.01	0.00	1.01	-	-0.02	0.01	-0.02	
2017-05-09 09:51:00.348985	1 - 1.00	-0.00	0.00	0.04	-	-0.01	0.00	1.01	-	-0.02	0.01	-0.02	
2017-05-09 09:51:00.351029	1 - 1.00	-0.00	0.00	0.04	-	-0.01	0.00	1.01	-	-0.02	0.00	-0.03	
2017-05-09 09:51:00.353885	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.03	
2017-05-09 09:51:00.357648	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.02	
2017-05-09 09:51:00.388914	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.02	
2017-05-09 09:51:00.390981	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.02	
2017-05-09 09:51:00.393958	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.02	0.00	-0.02	
2017-05-09 09:51:00.397518	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	-0.01	0.00	-0.02	
2017-05-09 09:51:00.429125	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	-0.01	0.00	-0.01	
